ACTIVE_MEM: committed memory (gb)
Stage1
time in interval: 100s,average committed memory (gb) per 30.0s
2014-04-15 22:28:29,3.5888900756835938
2014-04-15 22:28:59,3.6545562744140625
2014-04-15 22:29:29,3.6648597717285156
2014-04-15 22:29:59,4.042400360107422
2014-04-15 22:30:29,4.042549133300781
2014-04-15 22:30:59,3.997783660888672
2014-04-15 22:31:29,4.195831298828125
2014-04-15 22:31:59,4.147026062011719
2014-04-15 22:32:29,4.143947601318359
2014-04-15 22:32:59,4.1931610107421875
2014-04-15 22:33:29,4.187732696533203
2014-04-15 22:33:59,4.241264343261719
2014-04-15 22:34:29,4.2400970458984375
2014-04-15 22:34:59,4.220516204833984
2014-04-15 22:35:29,4.366199493408203
2014-04-15 22:35:59,4.365776062011719
2014-04-15 22:36:29,4.5504608154296875
2014-04-15 22:36:59,4.545635223388672
2014-04-15 22:37:29,4.4858856201171875
2014-04-15 22:37:59,4.485889434814453
2014-04-15 22:38:29,4.4720001220703125
2014-04-15 22:38:59,4.48583984375
2014-04-15 22:39:29,4.573696136474609
2014-04-15 22:39:59,4.547172546386719
2014-04-15 22:40:29,4.573863983154297
2014-04-15 22:40:59,4.573722839355469
2014-04-15 22:41:29,4.573764801025391
2014-04-15 22:41:59,4.573772430419922
2014-04-15 22:42:29,4.56280517578125
2014-04-15 22:42:59,4.564159393310547
2014-04-15 22:43:29,4.5294342041015625
2014-04-15 22:43:59,4.560081481933594
2014-04-15 22:44:29,4.573619842529297
