SAR_WRITES: io writes in mb/sec
Stage1
time in interval: 100s,average io writes in mb/sec per 30.0s
2014-04-15 22:28:29,6.040546875
2014-04-15 22:28:59,7.9431005859375
2014-04-15 22:29:29,8.686162109375
2014-04-15 22:29:59,7.6938916015625
2014-04-15 22:30:29,8.5798046875
2014-04-15 22:30:59,7.900537109375
2014-04-15 22:31:29,7.7779833984375
2014-04-15 22:31:59,7.80728515625
2014-04-15 22:32:29,7.8005126953125
2014-04-15 22:32:59,8.0955615234375
2014-04-15 22:33:29,9.1703662109375
2014-04-15 22:33:59,8.4146630859375
2014-04-15 22:34:29,7.8230615234375
2014-04-15 22:34:59,7.7148779296875
2014-04-15 22:35:29,7.7256640625
2014-04-15 22:35:59,8.2668603515625
2014-04-15 22:36:29,7.8008935546875
2014-04-15 22:36:59,8.61263671875
2014-04-15 22:37:29,9.041591796875
2014-04-15 22:37:59,7.5833935546875
2014-04-15 22:38:29,7.4734912109375
2014-04-15 22:38:59,7.6162744140625
2014-04-15 22:39:29,7.5460009765625
2014-04-15 22:39:59,7.28931640625
2014-04-15 22:40:29,7.5596435546875
2014-04-15 22:40:59,7.61119140625
2014-04-15 22:41:29,7.4699853515625
2014-04-15 22:41:59,7.6385693359375
2014-04-15 22:42:29,7.531787109375
2014-04-15 22:42:59,7.487216796875
2014-04-15 22:43:29,7.633876953125
2014-04-15 22:43:59,7.5304833984375
2014-04-15 22:44:29,7.55291015625
